Time_s,Command_deg,Response_deg,Error_deg,ActuatorCommand,Disturbance_deg_s2
12.04,-2,0.564026818281703,-2.74174624615217,-2.06589144027651,0
12.06,-2,0.525836539053504,-2.70243484787422,-2.04259177894194,0
12.08,-2,0.48790174126589,-2.66337144025216,-2.01940607976556,0
12.1,-2,0.450223749255921,-2.6245576802417,-1.99633593872228,0
12.12,-2,0.412803819108666,-2.58599515122356,-1.97338290154059,0
12.14,-2,0.375643139784555,-2.54768536418093,-1.95054846443133,0
12.16,-2,0.338742834235728,-2.5096297588658,-1.92783407481018,0
12.18,-2,0.302103960511456,-2.47182970495429,-1.90524113201407,0
12.2,-2,0.26572751285263,-2.43428650319091,-1.88277098801129,0
12.22,-2,0.229614422775369,-2.39700138652181,-1.86042494810552,0
12.24,-2,0.193765560143794,-2.35997552121704,-1.83820427163366,0
12.26,-2,0.158181734231987,-2.32321000798191,-1.81611017265754,0
12.28,-2,0.122863694775141,-2.28670588305735,-1.79414382064948,0
12.3,-2,0.0878121330100084,-2.25046411930945,-1.77230634117181,0
12.32,-2,0.0530276827046312,-2.21448562730814,-1.75059881655016,0
12.34,-2,0.0185109211774081,-2.17877125639494,-1.72902228654083,0
12.36,-2,-0.0157376296944577,-2.14332179574011,-1.70757774899192,0
12.38,-2,-0.0497175024770888,-2.10813797538887,-1.68626616049855,0
12.4,-2,-0.0834282831926171,-2.07322046729703,-1.66508843705195,0
12.42,-2,-0.116869610342335,-2.03856988635588,-1.64404545468254,0
12.44,-2,-0.150041173940314,-2.00418679140646,-1.62313805009699,0
12.46,-2,-0.182942714557439,-1.97007168624326,-1.60236702130933,0
12.48,-2,-0.215574022375785,-1.93622502060735,-1.58173312826601,0
12.5,-2,-0.247934936253309,-1.90264719116897,-1.56123709346504,0
12.52,-2,-0.280025342798818,-1.86933854249972,-1.54087960256914,0
12.54,-2,-0.311845175457141,-1.83629936803427,-1.52066130501301,0
12.56,-2,-0.343394413604488,-1.80352991102173,-1.50058281460464,0
12.58,-2,-0.374673081653907,-1.77103036546664,-1.48064471012075,0
12.6,-2,-0.40568124817081,-1.73880087705978,-1.46084753589634,0
12.62,-2,-0.436419024998546,-1.70684154409859,-1.44119180240834,0
12.64,-2,-0.466886566393903,-1.67515241839756,-1.42167798685352,0
12.66,-2,-0.497084068172542,-1.64373350618836,-1.40230653372047,0
12.68,-2,-0.527011766864287,-1.61258476900994,-1.38307785535585,0
12.7,-2,-0.556669938878218,-1.58170612458862,-1.36399233252482,0
12.72,-2,-0.586058899677532,-1.55109744770809,-1.34505031496574,0
12.74,-2,-0.615179002964072,-1.5207585710696,-1.32625212193912,0
12.76,-2,-0.644030639872522,-1.49068928614218,-1.30759804277085,0
12.78,-2,-0.672614238174189,-1.46088934400305,-1.28908833738974,0
12.8,-2,-0.700930261490303,-1.43135845616828,-1.2707232368594,0
12.82,-2,-0.728979208514795,-1.40209629541372,-1.25250294390446,0
12.84,-2,-0.756761612246495,-1.37310249658621,-1.23442763343122,0
12.86,-2,-0.784278039230683,-1.34437665740528,-1.21649745304258,0
12.88,-2,-0.811529088809945,-1.31591833925523,-1.19871252354757,0
12.9,-2,-0.838515392384282,-1.28772706796765,-1.18107293946514,0
12.92,-2,-0.865237612680372,-1.25980233459466,-1.16357876952264,0
12.94,-2,-0.891696443029983,-1.23214359617263,-1.14623005714859,0
12.96,-2,-0.91789260665745,-1.2047502764766,-1.12902682096018,0
12.98,-2,-0.943826855976145,-1.17762176676549,-1.11196905524515,0
13,-2,-0.969499971893899,-1.15075742651798,-1.09505673043839,-1
13.02,-2,-0.994912763127306,-1.1241565841594,-1.07828979359307,-1
13.04,-2,-1.02046606552485,-1.09781853777939,-1.06166816884647,-1
13.06,-2,-1.0461511413988,-1.07165407615378,-1.04519175788042,-1
13.08,-2,-1.07195950926581,-1.04559565428104,-1.02885485762588,-1
13.1,-2,-1.09788293766654,-1.01959254415857,-1.01264811203252,-1
13.12,-2,-1.12391343734008,-0.993607059570544,-0.996559953759383,-1
13.14,-2,-1.15004325241731,-0.967611617680854,-0.980577656938392,-1
13.16,-2,-1.1762648511179,-0.941586452547303,-0.964688094511275,-1
13.18,-2,-1.20257091629988,-0.915517836462547,-0.948878272186623,-1
13.2,-2,-1.22895433610774,-0.889396696823426,-0.933135694429684,-1
13.22,-2,-1.25540819488732,-0.863217541016361,-0.91744860501132,-1
13.24,-2,-1.2819257644784,-0.836977621126887,-0.901806134669577,-1
13.26,-2,-1.3085004959529,-0.810676285340838,-0.886198380727472,-1
13.28,-2,-1.33512601183511,-0.784314474642593,-0.870616437558163,-1
13.3,-2,-1.36179609881797,-0.757894332564155,-0.85505239220008,-1
13.32,-2,-1.38850470097327,-0.731418902868583,-0.83949929589348,-1
13.34,-2,-1.41524591344234,-0.704891895607511,-0.82395111959838,-1
13.36,-2,-1.44201397658684,-0.678317506322167,-0.808402699476657,-1
13.38,-2,-1.46880327057414,-0.65170027653084,-0.792849676734557,-1
13.4,-2,-1.49560831036958,-0.6250449862741,-0.777288435014189,-1
13.42,-2,-1.52242374110649,-0.598356571536662,-0.76171603760716,0
13.44,-2,-1.54924433380492,-0.571640060959606,-0.746130166073024,0
13.46,-2,-1.57566498141061,-0.544900527498806,-0.730529061327616,0
13.48,-2,-1.60169029512691,-0.518231531339445,-0.714911467881278,0
13.5,-2,-1.62732477061365,-0.49170491723244,-0.699282164373745,0
13.52,-2,-1.65257279035843,-0.465375643489629,-0.683649963774466,0
13.54,-2,-1.67743862792193,-0.439285542284487,-0.668026227433669,0
13.56,-2,-1.70192645337231,-0.413466247238188,-0.652423771770415,0
13.58,-2,-1.72604033940467,-0.387941472223867,-0.636856073964088,0
13.6,-2,-1.74978426777922,-0.362728784747531,-0.62133670442402,0
13.62,-2,-1.77316213581644,-0.337840985634368,-0.605878930418549,0
13.64,-2,-1.79617776276619,-0.313287182092819,-0.590495448116794,0
13.66,-2,-1.81883489592688,-0.289073622008875,-0.575198210264953,0
13.68,-2,-1.8411372164351,-0.265204342341562,-0.559998324431046,0
13.7,-2,-1.86308834467842,-0.241681672813199,-0.54490600271139,0
13.72,-2,-1.88469184530771,-0.218506626986458,-0.52993054839077,0
13.74,-2,-1.90595123184277,-0.195679205726758,-0.515080368591234,0
13.76,-2,-1.92686997087647,-0.173198632520268,-0.500363004668914,0
13.78,-2,-1.94745148589132,-0.151063535809771,-0.485785174208756,0
13.8,-2,-1.9676991607073,-0.129272090153787,-0.471352820066941,0
13.82,-2,-1.98761634258344,-0.107822125398729,-0.4570711631313,0
13.84,-2,-2.00720634499698,-0.0867112110162087,-0.442944756397923,0
13.86,-2,-2.02647245012479,-0.0659367211702448,-0.428977538664287,0
13.88,-2,-2.04541791105158,-0.0454958848427645,-0.415172886667798,0
13.9,-2,-2.06404595372851,-0.0253858243829284,-0.401533664893871,0
13.92,-2,-2.08235977870492,-0.00560358509614511,-0.388062272570859,0
13.94,-2,-2.10036256265466,0.0138538420950556,-0.374760687584312,0
13.96,-2,-2.11805745971684,0.0329895033403353,-0.361630507198943,0
13.98,-2,-2.13544760266954,0.0518064686765332,-0.348672985587643,0
14,-2,-2.15253610395369,0.0703078220188069,-0.335889068243885,0
14.02,-2,-2.1693260565624,0.0884966535921863,-0.323279423405565,0
